RA,DEC,F336W-F475W_RAW,F475W-F814W_RAW,F475W_RAW,F336W-F475W,F475W-F814W,F475W,A(F475W),Z
10.8137210523,41.2607152292,-1.225,0.140999,21.703,-1.67741561928,-0.477777972554,-3.71138910286,1.01438821785,nan
10.8166338568,41.27182838,-0.519001,0.197001,21.704,-0.808495725425,-0.198945187469,-3.34509082371,0.649091296737,nan
10.7832069639,41.2604003337,-0.656,0.865999,22.678,-1.61711177112,-0.448525658492,-3.87695932369,2.15495882015,nan
10.7978273574,41.2575547574,-0.0360012,1.413,23.089,-1.30915139316,-0.328303961586,-4.16559613153,2.85459683344,nan
10.818424473,41.2746819022,-0.129,0.601999,21.827,-0.696677161426,-0.174420549717,-3.84581973332,1.27281939763,nan
10.804957755,41.260998035,-0.768,0.122,22.049,-1.04219454382,-0.253020182746,-2.96578697321,0.614786759584,nan
10.8143207781,41.2762497893,-0.0680008,1.391,23.246,-1.33007363916,-0.335152695996,-3.98375945381,2.82975974373,nan
10.8249017,41.2788978016,-0.467999,0.136,21.866,-0.694633286377,-0.173971658686,-3.04215051304,0.508149734839,nan
10.8237447667,41.2770200943,-0.281,1.036,22.733,-1.26928912508,-0.315696402636,-3.88289478973,2.21589459136,nan
10.818632599,41.2842190808,-0.830999,0.187,21.965,-1.17911260011,-0.289118711189,-3.21552277503,0.780522927618,nan
10.7955617607,41.2729918488,-0.816,0.299,22.072,-1.26431095922,-0.314160963477,-3.3331810536,1.00518155714,nan
10.8144030116,41.2476940148,-0.139,0.195,21.939,-0.348594313242,-0.0916652565409,-2.9309433672,0.469942543221,nan
10.8138535379,41.2696440064,-0.237999,0.59,22.417,-0.816053228334,-0.200612184225,-3.27908598116,1.29608579805,nan
10.8055960837,41.2518685975,-0.191,0.353998,22.137,-0.553998168751,-0.14247915267,-3.07689814332,0.813897273565,nan
10.8277502485,41.2735743603,-0.903,0.116999,22.039,-1.20540835008,-0.29660932754,-3.03904634419,0.67804590168,nan
10.8025610758,41.2574663241,-0.768,0.830999,22.786,-1.75468801093,-0.518507129527,-3.82630644603,2.21230574412,nan
10.8008722084,41.2799300566,-0.997002,0.0150013,22.002,-1.23012036704,-0.30383820669,-2.92068690225,0.522687710963,nan
10.787331318,41.2725075371,-0.809999,-0.0580006,21.975,-0.933617565959,-0.227074647558,-2.70217024637,0.277170627841,nan
10.7986087324,41.279628184,-0.966,0.470999,22.352,-1.64965569662,-0.464046565432,-3.58086191301,1.53286119585,nan
10.8339376052,41.2797982755,-0.354,1.073,22.959,-1.40164806331,-0.359881800866,-3.78998684996,2.34898648375,nan
10.7917822351,41.2705282944,-0.818001,0.448,22.256,-1.41121632953,-0.363348648929,-3.4740791585,1.3300796773,nan
10.7965280977,41.255403937,-1.459,-0.0879993,22.125,-1.78709402973,-0.536738315892,-3.01063765905,0.73563765905,nan
10.7857029192,41.2612756234,-0.990999,0.0149994,22.094,-1.22246427736,-0.301578376918,-2.82498008252,0.518979945191,nan
